term,definition,source,url_source
3D,Trois dimensions (volumes),DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html
AAE,Architectes associés pour l'environnement,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
AAEXA,Assurance accident des exploitants agricoles,Sénat,https://www.senat.fr/histoire/sigles.html
AAF,Académie d'agriculture de France,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
AAH,Allocation aux adultes handicapés,Sénat,https://www.senat.fr/histoire/sigles.html
AAI,Autorités administratives indépendantes,Sénat,https://www.senat.fr/histoire/sigles.html
AAP,Administration d'affichage et de publicité.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
AAPC,Avis d'appel public à la concurrence,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm
AAPPMA,Association agréée pour la pêche et la protection du milieu aquatique.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
AASQUA,Association agréé de surveillance de la qualité de l'air,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
AASU,Attaché-d’Aministration-Scolaire et Universitaire,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
AAT,Avis d’arrêt de travail,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
AATF,Association des administrateurs territoriaux de France,CNLES,https://www.cnle.gouv.fr/Sigles-de-l-Administration.html
AAVR,Association d'aide aux victimes de la route.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
AB,Agriculture biologique.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
ABF,Architecte des bâtiments de France.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
ABF,Association des bibliothécaires français,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
ABS,Analyse Des Besoins Sociaux,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
AC,Administrateur civil.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
AC,Allocation compensatrice,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
AC,Appellation contrôlée.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
AC,Autorité de certification ,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm
ACA,Allocation Chômeur Agé,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
ACA,Association coopération et aménagement.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
ACAATA,Allocation de cessation anticipée d'activité des travailleurs de l'amiante,Sénat,https://www.senat.fr/histoire/sigles.html
ACBUS,Accord de bon usage des soins,Sénat,https://www.senat.fr/histoire/sigles.html
